N37W122.hgt, ew: 18, sw: 18, eo: 1728, so: 216, acv: 100.0%, density: 25, pop: 30, time: 3600000, routing: orpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: orpl_pnoecpfp_testlog.txt, energy: 0.256462934429, energy_std: 0.860578605204, max_energy: 0.457627118644
N37W122.hgt, ew: 18, sw: 18, eo: 1728, so: 216, acv: 100.0%, density: 25, pop: 30, time: 3600000, routing: rpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: rpl_pnoecpfp_testlog.txt, energy: 0.105632597158, energy_std: 0.519739555159, max_energy: 0.457627118644
N36W117.hgt, ew: 18, sw: 18, eo: 288, so: 1980, acv: 100.0%, density: 25, pop: 30, time: 2400000, routing: orpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: orpl_tqitmvtx_testlog.txt, energy: 0.334628334628, energy_std: 0.983634564855, max_energy: 0.641025641026
N36W117.hgt, ew: 18, sw: 18, eo: 288, so: 1980, acv: 100.0%, density: 25, pop: 30, time: 2400000, routing: rpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: rpl_tqitmvtx_testlog.txt, energy: 0.16835016835, energy_std: 0.641436404173, max_energy: 0.692307692308
N37W122.hgt, ew: 18, sw: 18, eo: 1782, so: 270, acv: 100.0%, density: 25, pop: 30, time: 1920000, routing: orpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: orpl_tufvpbnm_testlog.txt, energy: 0.404366243076, energy_std: 1.11641992464, max_energy: 0.645161290323
N37W122.hgt, ew: 18, sw: 18, eo: 1782, so: 270, acv: 100.0%, density: 25, pop: 30, time: 1920000, routing: rpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: rpl_tufvpbnm_testlog.txt, energy: 0.201694362985, energy_std: 0.760320795708, max_energy: 0.516129032258
N36W117.hgt, ew: 18, sw: 18, eo: 486, so: 2592, acv: 100.0%, density: 25, pop: 30, time: 2400000, routing: orpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: orpl_vhmqrimc_testlog.txt, energy: 0.367003367003, energy_std: 1.09707012851, max_energy: 0.692307692308
N36W117.hgt, ew: 18, sw: 18, eo: 486, so: 2592, acv: 100.0%, density: 25, pop: 30, time: 2400000, routing: rpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: rpl_vhmqrimc_testlog.txt, energy: 0.166278166278, energy_std: 0.750938188519, max_energy: 0.358974358974
N37W122.hgt, ew: 18, sw: 18, eo: 1512, so: 306, acv: 100.0%, density: 25, pop: 30, time: 1920000, routing: orpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: orpl_wbjbsohd_testlog.txt, energy: 1.08699902248, energy_std: 39.4048415187, max_energy: 70.8387096774
N37W122.hgt, ew: 18, sw: 18, eo: 1512, so: 306, acv: 100.0%, density: 25, pop: 30, time: 1920000, routing: rpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: rpl_wbjbsohd_testlog.txt, energy: 0.172694688824, energy_std: 0.650956589867, max_energy: 0.354838709677
