562.0, 0.0, 736.0, 0.0
407.0, 0.0, 508.0, 0.0
396.0, 0.0, 532.0, 0.0
379.0, 0.0, 629.0, 0.0
407.0, 0.0, 443.0, 0.0
377.0, 0.0, 515.0, 0.0
391.0, 0.0, 504.0, 0.0
395.0, 0.0, 518.0, 0.0
379.0, 0.0, 464.0, 0.0
391.0, 0.0, 517.0, 0.0
375.0, 0.0, 500.0, 0.0
387.0, 0.0, 490.0, 0.0
397.0, 0.0, 507.0, 0.0
380.0, 0.0, 537.0, 0.0
379.0, 0.0, 572.0, 0.0
388.0, 0.0, 538.0, 0.0
398.0, 0.0, 553.0, 0.0
390.0, 0.0, 513.0, 0.0
373.0, 0.0, 511.0, 0.0
396.0, 0.0, 570.0, 0.0
396.0, 0.0, 484.0, 0.0
385.0, 0.0, 547.0, 0.0
378.0, 0.0, 488.0, 0.0
377.0, 0.0, 458.0, 0.0
391.0, 0.0, 421.0, 0.0
375.0, 0.0, 511.0, 0.0
386.0, 0.0, 463.0, 0.0
376.0, 0.0, 470.0, 0.0
392.0, 0.0, 504.0, 0.0
385.0, 0.0, 505.0, 0.0
