Connected 100.0%, nodes: 100, density: 17, acv: 100.0%, degree: 13.6784
Connected 0.0%, nodes: 100, density: 315, acv: 1.0%, degree: 0.9592
Connected 0.0%, nodes: 100, density: 316, acv: 1.0%, degree: 0.968
Connected 0.0%, nodes: 100, density: 471, acv: 1.0%, degree: 0.9784
Connected 0.0%, nodes: 100, density: 472, acv: 1.0%, degree: 0.9984
Connected 0.0%, nodes: 100, density: 549, acv: 1.0%, degree: 0.9912
Connected 0.0%, nodes: 100, density: 550, acv: 1.0%, degree: 0.9504
Connected 0.0%, nodes: 100, density: 588, acv: 1.0%, degree: 1.0224
Connected 0.0%, nodes: 100, density: 589, acv: 1.0%, degree: 1.012
Connected 0.0%, nodes: 100, density: 608, acv: 1.0%, degree: 0.9864
Connected 0.0%, nodes: 100, density: 609, acv: 1.0%, degree: 1.0048
Connected 0.0%, nodes: 100, density: 618, acv: 1.0%, degree: 0.9976
Connected 0.0%, nodes: 100, density: 619, acv: 1.0%, degree: 0.9912
Connected 0.0%, nodes: 100, density: 623, acv: 1.0%, degree: 1.0176
Connected 0.0%, nodes: 100, density: 624, acv: 1.0%, degree: 0.98
Connected 0.0%, nodes: 100, density: 625, acv: 1.0%, degree: 0.9712
Connected 0.0%, nodes: 100, density: 626, acv: 1.0%, degree: 0.9984
Connected 0.0%, nodes: 100, density: 627, acv: 1.0%, degree: 0.9688
Connected 0.0%, nodes: 100, density: 628, acv: 1.0%, degree: 0.9552
Connected 0.0%, nodes: 100, density: 315, acv: 2.0%, degree: 1.86
Connected 0.0%, nodes: 100, density: 316, acv: 2.0%, degree: 1.9832
Connected 0.0%, nodes: 100, density: 471, acv: 2.0%, degree: 1.9928
Connected 0.0%, nodes: 100, density: 472, acv: 2.0%, degree: 1.9616
Connected 0.0%, nodes: 100, density: 549, acv: 2.0%, degree: 1.9608
Connected 0.0%, nodes: 100, density: 550, acv: 2.0%, degree: 1.9632
Connected 0.0%, nodes: 100, density: 588, acv: 2.0%, degree: 1.9664
Connected 0.0%, nodes: 100, density: 589, acv: 2.0%, degree: 2.0616
Connected 0.0%, nodes: 100, density: 608, acv: 2.0%, degree: 2.0176
Connected 0.0%, nodes: 100, density: 609, acv: 2.0%, degree: 2.004
Connected 0.0%, nodes: 100, density: 618, acv: 2.0%, degree: 1.956
Connected 0.0%, nodes: 100, density: 619, acv: 2.0%, degree: 1.964
Connected 0.0%, nodes: 100, density: 623, acv: 2.0%, degree: 2.004
Connected 0.0%, nodes: 100, density: 624, acv: 2.0%, degree: 1.9176
Connected 0.0%, nodes: 100, density: 625, acv: 2.0%, degree: 1.9544
Connected 0.0%, nodes: 100, density: 626, acv: 2.0%, degree: 1.9584
Connected 0.0%, nodes: 100, density: 627, acv: 2.0%, degree: 2.0376
Connected 0.0%, nodes: 100, density: 628, acv: 2.0%, degree: 2.0016
Connected 0.0%, nodes: 100, density: 315, acv: 3.0%, degree: 2.8536
Connected 0.0%, nodes: 100, density: 316, acv: 3.0%, degree: 2.9128
Connected 0.0%, nodes: 100, density: 471, acv: 3.0%, degree: 3.052
Connected 0.0%, nodes: 100, density: 472, acv: 3.0%, degree: 2.9704
Connected 0.0%, nodes: 100, density: 549, acv: 3.0%, degree: 2.9304
Connected 0.0%, nodes: 100, density: 550, acv: 3.0%, degree: 2.916
Connected 0.0%, nodes: 100, density: 588, acv: 3.0%, degree: 2.9728
Connected 0.0%, nodes: 100, density: 589, acv: 3.0%, degree: 2.9688
Connected 0.0%, nodes: 100, density: 608, acv: 3.0%, degree: 2.9696
Connected 0.0%, nodes: 100, density: 609, acv: 3.0%, degree: 2.9608
