Connected 21.64%, nodes: 100, density: 8, acv: 41.0%, degree: 3.280868
Connected 41.31%, nodes: 100, density: 9, acv: 41.0%, degree: 3.691162
Connected 72.88%, nodes: 100, density: 11, acv: 41.0%, degree: 4.509846
Connected 83.87%, nodes: 100, density: 12, acv: 41.0%, degree: 4.917954
Connected 100.0%, nodes: 100, density: 50, acv: 42.0%, degree: 20.997754
Connected 67.34%, nodes: 100, density: 8, acv: 50.0%, degree: 3.995302
Connected 82.17%, nodes: 100, density: 9, acv: 50.0%, degree: 4.502662
Connected 93.33%, nodes: 100, density: 8, acv: 60.0%, degree: 4.795208
Connected 33.63%, nodes: 100, density: 5, acv: 60.0%, degree: 3.001572
Connected 65.4%, nodes: 100, density: 6, acv: 60.0%, degree: 3.601836
Connected 84.84%, nodes: 100, density: 7, acv: 60.0%, degree: 4.196414
Connected 77.55%, nodes: 100, density: 5, acv: 70.0%, degree: 3.49972
Connected 93.1%, nodes: 100, density: 6, acv: 70.0%, degree: 4.202574
Connected 96.79%, nodes: 100, density: 5, acv: 80.0%, degree: 3.998084
Connected 34.48%, nodes: 100, density: 3, acv: 80.0%, degree: 2.400894
Connected 84.1%, nodes: 100, density: 4, acv: 80.0%, degree: 3.200364
Connected 89.4%, nodes: 100, density: 3, acv: 90.0%, degree: 2.70051
Connected 0.05%, nodes: 100, density: 2, acv: 90.0%, degree: 1.799128
Connected 86.39%, nodes: 100, density: 62, acv: 10.0%, degree: 6.20082
Connected 75.71%, nodes: 100, density: 56, acv: 10.0%, degree: 5.599302
Connected 78.63%, nodes: 100, density: 57, acv: 10.0%, degree: 5.698058
Connected 81.91%, nodes: 100, density: 59, acv: 10.0%, degree: 5.902858
Connected 79.48%, nodes: 100, density: 58, acv: 10.0%, degree: 5.797166
Connected 73.52%, nodes: 100, density: 26, acv: 20.0%, degree: 5.20328
Connected 78.82%, nodes: 100, density: 27, acv: 20.0%, degree: 5.399664
Connected 97.89%, nodes: 100, density: 38, acv: 20.0%, degree: 7.60343
Connected 92.45%, nodes: 100, density: 32, acv: 20.0%, degree: 6.396418
Connected 85.67%, nodes: 100, density: 29, acv: 20.0%, degree: 5.804748
Connected 82.38%, nodes: 100, density: 28, acv: 20.0%, degree: 5.60071
Connected 50.77%, nodes: 100, density: 14, acv: 30.0%, degree: 4.195472
Connected 61.77%, nodes: 100, density: 15, acv: 30.0%, degree: 4.49884
Connected 92.24%, nodes: 100, density: 20, acv: 30.0%, degree: 6.001814
Connected 79.63%, nodes: 100, density: 17, acv: 30.0%, degree: 5.099966
Connected 84.71%, nodes: 100, density: 18, acv: 30.0%, degree: 5.397318
Connected 0.0%, nodes: 100, density: 50, acv: 1.0%, degree: 0.3224
Connected 0.0%, nodes: 100, density: 51, acv: 1.0%, degree: 0.3704
Connected 0.0%, nodes: 100, density: 74, acv: 1.0%, degree: 0.4912
Connected 0.0%, nodes: 100, density: 75, acv: 1.0%, degree: 0.4928
Connected 0.0%, nodes: 100, density: 86, acv: 1.0%, degree: 0.4368
Connected 0.0%, nodes: 100, density: 87, acv: 1.0%, degree: 0.4872
Connected 0.0%, nodes: 100, density: 92, acv: 1.0%, degree: 0.5392
Connected 0.0%, nodes: 100, density: 93, acv: 1.0%, degree: 0.5312
Connected 0.0%, nodes: 100, density: 95, acv: 1.0%, degree: 0.528
Connected 0.0%, nodes: 100, density: 96, acv: 1.0%, degree: 0.5592
Connected 0.0%, nodes: 100, density: 97, acv: 1.0%, degree: 0.5456
Connected 0.0%, nodes: 100, density: 98, acv: 1.0%, degree: 0.5616
Connected 0.0%, nodes: 100, density: 99, acv: 1.0%, degree: 0.5664
Connected 0.0%, nodes: 100, density: 50, acv: 2.0%, degree: 0.716
Connected 0.0%, nodes: 100, density: 51, acv: 2.0%, degree: 0.6872
Connected 0.0%, nodes: 100, density: 74, acv: 2.0%, degree: 0.924
Connected 0.0%, nodes: 100, density: 75, acv: 2.0%, degree: 0.9624
Connected 0.0%, nodes: 100, density: 86, acv: 2.0%, degree: 1.0392
Connected 0.0%, nodes: 100, density: 87, acv: 2.0%, degree: 1.0328
Connected 0.0%, nodes: 100, density: 92, acv: 2.0%, degree: 1.0512
Connected 0.0%, nodes: 100, density: 93, acv: 2.0%, degree: 1.0488
Connected 0.0%, nodes: 100, density: 95, acv: 2.0%, degree: 1.0576
Connected 0.0%, nodes: 100, density: 96, acv: 2.0%, degree: 1.104
Connected 0.0%, nodes: 100, density: 97, acv: 2.0%, degree: 1.0896
Connected 0.0%, nodes: 100, density: 98, acv: 2.0%, degree: 1.0984
Connected 0.0%, nodes: 100, density: 99, acv: 2.0%, degree: 1.1752
Connected 0.0%, nodes: 100, density: 50, acv: 3.0%, degree: 1.0304
