Nodes: 301, Area: 10000, Total Time: 86, Terrain Creation: 17, Node LOS Calculations: 69
Nodes: 301, Area: 10000, Total Time: 82, Terrain Creation: 16, Node LOS Calculations: 66
Nodes: 301, Area: 10000, Total Time: 84, Terrain Creation: 19, Node LOS Calculations: 65
Nodes: 301, Area: 10000, Total Time: 85, Terrain Creation: 13, Node LOS Calculations: 72
Nodes: 301, Area: 10000, Total Time: 93, Terrain Creation: 21, Node LOS Calculations: 72
Nodes: 301, Area: 10000, Total Time: 96, Terrain Creation: 15, Node LOS Calculations: 81
Nodes: 301, Area: 10000, Total Time: 92, Terrain Creation: 17, Node LOS Calculations: 75
Nodes: 301, Area: 10000, Total Time: 91, Terrain Creation: 14, Node LOS Calculations: 77
Nodes: 301, Area: 10000, Total Time: 94, Terrain Creation: 13, Node LOS Calculations: 81
Nodes: 301, Area: 10000, Total Time: 79, Terrain Creation: 14, Node LOS Calculations: 65
Nodes: 301, Area: 10000, Total Time: 90, Terrain Creation: 12, Node LOS Calculations: 78
Nodes: 301, Area: 10000, Total Time: 90, Terrain Creation: 18, Node LOS Calculations: 72
Nodes: 401, Area: 10000, Total Time: 113, Terrain Creation: 14, Node LOS Calculations: 99
Nodes: 401, Area: 10000, Total Time: 107, Terrain Creation: 14, Node LOS Calculations: 93
Nodes: 401, Area: 10000, Total Time: 107, Terrain Creation: 14, Node LOS Calculations: 93
Nodes: 401, Area: 10000, Total Time: 103, Terrain Creation: 15, Node LOS Calculations: 88
Nodes: 401, Area: 10000, Total Time: 118, Terrain Creation: 14, Node LOS Calculations: 104
Nodes: 401, Area: 10000, Total Time: 107, Terrain Creation: 14, Node LOS Calculations: 93
Nodes: 401, Area: 10000, Total Time: 111, Terrain Creation: 14, Node LOS Calculations: 97
Nodes: 401, Area: 10000, Total Time: 98, Terrain Creation: 13, Node LOS Calculations: 85
Nodes: 401, Area: 10000, Total Time: 110, Terrain Creation: 18, Node LOS Calculations: 92
Nodes: 401, Area: 10000, Total Time: 99, Terrain Creation: 13, Node LOS Calculations: 86
Nodes: 401, Area: 10000, Total Time: 105, Terrain Creation: 14, Node LOS Calculations: 91
Nodes: 401, Area: 10000, Total Time: 100, Terrain Creation: 12, Node LOS Calculations: 88
Nodes: 401, Area: 10000, Total Time: 116, Terrain Creation: 14, Node LOS Calculations: 102
Nodes: 401, Area: 10000, Total Time: 108, Terrain Creation: 15, Node LOS Calculations: 93
Nodes: 401, Area: 10000, Total Time: 116, Terrain Creation: 14, Node LOS Calculations: 102
Nodes: 401, Area: 10000, Total Time: 110, Terrain Creation: 16, Node LOS Calculations: 94
Nodes: 401, Area: 10000, Total Time: 99, Terrain Creation: 13, Node LOS Calculations: 86
Nodes: 401, Area: 10000, Total Time: 104, Terrain Creation: 13, Node LOS Calculations: 91
Nodes: 401, Area: 10000, Total Time: 113, Terrain Creation: 15, Node LOS Calculations: 98
Nodes: 401, Area: 10000, Total Time: 100, Terrain Creation: 14, Node LOS Calculations: 86
Nodes: 501, Area: 10000, Total Time: 124, Terrain Creation: 12, Node LOS Calculations: 112
