N36W113.hgt, ew: 100, sw: 100, (100, 3100), 5.2573277327732715%, 4.426932627071371
N36W113.hgt, ew: 100, sw: 100, (100, 3200), 3.261378137813782%, 2.3655569626091895
N36W113.hgt, ew: 100, sw: 100, (100, 3300), 12.986183618361835%, 9.387484568459985
N36W113.hgt, ew: 100, sw: 100, (100, 3400), 7.754994499449945%, 5.558285088331729
N36W113.hgt, ew: 100, sw: 100, (100, 3500), 4.039516951695172%, 3.922853608753918
N36W113.hgt, ew: 100, sw: 100, (200, 0), 6.530744074407441%, 4.560468736910031
N36W113.hgt, ew: 100, sw: 100, (200, 100), 14.648232823282338%, 14.105179004469173
N36W113.hgt, ew: 100, sw: 100, (200, 200), 7.8669226922692275%, 8.613816534744151
N36W113.hgt, ew: 100, sw: 100, (200, 300), 3.624100410041006%, 4.480720556124963
N36W113.hgt, ew: 100, sw: 100, (200, 400), 2.062451245124512%, 2.4481277313485483
N36W113.hgt, ew: 100, sw: 100, (200, 500), 4.269616961696166%, 5.6617029881921175
N36W113.hgt, ew: 100, sw: 100, (200, 600), 1.9707850785078525%, 2.6529856846628577
N36W113.hgt, ew: 100, sw: 100, (200, 700), 1.4837483748374833%, 1.5975313503540265
N36W113.hgt, ew: 100, sw: 100, (200, 800), 2.5084838483848384%, 2.6694658994625082
N36W113.hgt, ew: 100, sw: 100, (200, 900), 6.518561856185618%, 6.8953796867080985
N36W113.hgt, ew: 100, sw: 100, (200, 1000), 5.130260026002597%, 6.0730093390603725
N36W113.hgt, ew: 100, sw: 100, (200, 1100), 3.400837083708374%, 4.015219652273643
N36W113.hgt, ew: 100, sw: 100, (200, 1200), 4.758795879587961%, 5.471735454688855
N36W113.hgt, ew: 100, sw: 100, (200, 1300), 6.60701570157016%, 7.230160478297361
N36W113.hgt, ew: 100, sw: 100, (200, 1400), 3.1311951195119527%, 3.202799939519199
N36W113.hgt, ew: 100, sw: 100, (200, 1500), 12.454303430343034%, 9.585700685367106
N36W113.hgt, ew: 100, sw: 100, (200, 1600), 10.987524752475249%, 9.675020989526628
N36W113.hgt, ew: 100, sw: 100, (200, 1700), 8.781328132813279%, 8.66621319607507
N36W113.hgt, ew: 100, sw: 100, (200, 1800), 3.7527932793279315%, 3.1888690619070386
N36W113.hgt, ew: 100, sw: 100, (200, 1900), 4.204370437043704%, 3.873473266455431
N36W113.hgt, ew: 100, sw: 100, (200, 2000), 6.146156615661566%, 6.190107954446149
N36W113.hgt, ew: 100, sw: 100, (200, 2100), 4.2142134213421345%, 3.5314613791536145
N36W113.hgt, ew: 100, sw: 100, (200, 2200), 3.6060836083608363%, 2.6670221232658875
N36W113.hgt, ew: 100, sw: 100, (200, 2300), 5.8770557055705535%, 4.5725450734012885
N36W113.hgt, ew: 100, sw: 100, (200, 2400), 7.3725662566256664%, 5.501774836778567
N36W113.hgt, ew: 100, sw: 100, (200, 2500), 11.102794279427943%, 9.051143995585198
N36W113.hgt, ew: 100, sw: 100, (200, 2600), 17.699170917091692%, 16.601897485734035
N36W113.hgt, ew: 100, sw: 100, (200, 2700), 18.77101810181019%, 16.231783271862437
N36W113.hgt, ew: 100, sw: 100, (200, 2800), 11.18676867686768%, 9.80992453265355
N36W113.hgt, ew: 100, sw: 100, (200, 2900), 10.581951195119512%, 9.52982541602164
N36W113.hgt, ew: 100, sw: 100, (200, 3000), 11.59909090909091%, 8.044586746416432
N36W113.hgt, ew: 100, sw: 100, (200, 3100), 17.775087508750893%, 12.85532183479389
N36W113.hgt, ew: 100, sw: 100, (200, 3200), 18.07676567656766%, 13.573946353833284
N36W113.hgt, ew: 100, sw: 100, (200, 3300), 6.275721572157217%, 5.299071943069319
N36W113.hgt, ew: 100, sw: 100, (200, 3400), 5.126937693769378%, 4.219099450762159
N36W113.hgt, ew: 100, sw: 100, (200, 3500), 4.700405040504051%, 4.440883435517961
N36W113.hgt, ew: 100, sw: 100, (300, 0), 13.80035103510351%, 7.81522857875622
N36W113.hgt, ew: 100, sw: 100, (300, 100), 14.729775977597765%, 10.83960384003123
N36W113.hgt, ew: 100, sw: 100, (300, 200), 4.055837583758374%, 4.888715784234097
N36W113.hgt, ew: 100, sw: 100, (300, 300), 3.479554955495549%, 3.6243198169220494
N36W113.hgt, ew: 100, sw: 100, (300, 400), 2.409875987598763%, 2.523914635878911
N36W113.hgt, ew: 100, sw: 100, (300, 500), 3.8443594359435944%, 3.8995497893684505
N36W113.hgt, ew: 100, sw: 100, (300, 600), 2.853712371237124%, 3.3024483505468254
N36W113.hgt, ew: 100, sw: 100, (300, 700), 2.572863286328631%, 2.653308291743924
N36W113.hgt, ew: 100, sw: 100, (300, 800), 3.780310031003103%, 4.292109852371386
N36W113.hgt, ew: 100, sw: 100, (300, 900), 9.962104210421035%, 9.690984806041461
N36W113.hgt, ew: 100, sw: 100, (300, 1000), 5.470306030603059%, 5.62049429597535
N36W113.hgt, ew: 100, sw: 100, (300, 1100), 3.3982638263826392%, 4.483410433804881
N36W113.hgt, ew: 100, sw: 100, (300, 1200), 3.228497849784979%, 3.160285778473684
N36W113.hgt, ew: 100, sw: 100, (300, 1300), 6.262336233623361%, 5.819882109470384
N36W113.hgt, ew: 100, sw: 100, (300, 1400), 8.63786578657866%, 7.939076641686181
N36W113.hgt, ew: 100, sw: 100, (300, 1500), 4.621629162916287%, 4.231505283235321
N36W113.hgt, ew: 100, sw: 100, (300, 1600), 9.206985698569861%, 9.346478020119493
N36W113.hgt, ew: 100, sw: 100, (300, 1700), 4.975163516351636%, 5.1729945222639255
N36W113.hgt, ew: 100, sw: 100, (300, 1800), 5.512289228922893%, 5.652430296019944
N36W113.hgt, ew: 100, sw: 100, (300, 1900), 5.551652165216521%, 4.732996485451396
N36W113.hgt, ew: 100, sw: 100, (300, 2000), 7.069730973097308%, 6.904285437655245
N36W113.hgt, ew: 100, sw: 100, (300, 2100), 5.06272827282728%, 4.072418338350267
N36W113.hgt, ew: 100, sw: 100, (300, 2200), 21.44474447444744%, 12.897114874332322
N36W113.hgt, ew: 100, sw: 100, (300, 2300), 12.945760576057605%, 9.875140988981126
N36W113.hgt, ew: 100, sw: 100, (300, 2400), 14.101634163416339%, 10.063148359156115
N36W113.hgt, ew: 100, sw: 100, (300, 2500), 9.08939393939394%, 8.30863020386649
N36W113.hgt, ew: 100, sw: 100, (300, 2600), 21.204779477947795%, 17.56923550785828
N36W113.hgt, ew: 100, sw: 100, (300, 2700), 11.779147914791483%, 8.875917608323018
N36W113.hgt, ew: 100, sw: 100, (300, 2800), 9.195416541654163%, 7.663838920091849
N36W113.hgt, ew: 100, sw: 100, (300, 2900), 10.013330333033304%, 8.36877690901259
N36W113.hgt, ew: 100, sw: 100, (300, 3000), 4.716905690569057%, 4.180740390931825
N36W113.hgt, ew: 100, sw: 100, (300, 3100), 5.075613561356136%, 4.284318951103297
N36W113.hgt, ew: 100, sw: 100, (300, 3200), 5.785528552855286%, 5.057704780175238
N36W113.hgt, ew: 100, sw: 100, (300, 3300), 5.847277727772776%, 5.945198557591801
N36W113.hgt, ew: 100, sw: 100, (300, 3400), 3.4355745574557437%, 3.527220888968067
N36W113.hgt, ew: 100, sw: 100, (300, 3500), 4.928345834583461%, 5.365849127370885
N36W113.hgt, ew: 100, sw: 100, (400, 0), 18.254241424142403%, 11.425294826634293
N36W113.hgt, ew: 100, sw: 100, (400, 100), 21.506432643264326%, 13.735792144621882
N36W113.hgt, ew: 100, sw: 100, (400, 200), 17.915202520252024%, 14.733005643114243
N36W113.hgt, ew: 100, sw: 100, (400, 300), 8.546736673667366%, 8.47669452626108
N36W113.hgt, ew: 100, sw: 100, (400, 400), 12.24006700670067%, 12.46599120690004
N36W113.hgt, ew: 100, sw: 100, (400, 500), 8.48003500350035%, 8.736707179189775
N36W113.hgt, ew: 100, sw: 100, (400, 600), 2.233020302030203%, 2.487690117714758
N36W113.hgt, ew: 100, sw: 100, (400, 700), 5.5792289228922884%, 5.608541156155355
N36W113.hgt, ew: 100, sw: 100, (400, 800), 5.201213121312132%, 4.420490122534579
N36W113.hgt, ew: 100, sw: 100, (400, 900), 4.541922192219221%, 5.422884085458282
N36W113.hgt, ew: 100, sw: 100, (400, 1000), 2.2146454645464524%, 2.567112453795849
N36W113.hgt, ew: 100, sw: 100, (400, 1100), 7.812835283528357%, 8.155977030003555
N36W113.hgt, ew: 100, sw: 100, (400, 1200), 3.327092709270932%, 4.004002151775705
N36W113.hgt, ew: 100, sw: 100, (400, 1300), 9.204720472047205%, 8.203175196611179
N36W113.hgt, ew: 100, sw: 100, (400, 1400), 3.7525222522252224%, 3.2859171918996712
N36W113.hgt, ew: 100, sw: 100, (400, 1500), 4.201547154715471%, 3.97254476123523
N36W113.hgt, ew: 100, sw: 100, (400, 1600), 4.741633163316329%, 4.190379859269027
N36W113.hgt, ew: 100, sw: 100, (400, 1700), 5.055112511251124%, 4.6410338048574715
N36W113.hgt, ew: 100, sw: 100, (400, 1800), 2.9952095209520953%, 3.5695674602414282
N36W113.hgt, ew: 100, sw: 100, (400, 1900), 6.6553885388538845%, 5.644339007926122
N36W113.hgt, ew: 100, sw: 100, (400, 2000), 8.332382238223827%, 7.229481011898405
N36W113.hgt, ew: 100, sw: 100, (400, 2100), 8.099661966196619%, 6.146079157935577
N36W113.hgt, ew: 100, sw: 100, (400, 2200), 10.51085108510851%, 8.59833210318266
N36W113.hgt, ew: 100, sw: 100, (400, 2300), 17.55994199419942%, 12.332850361777405
N36W113.hgt, ew: 100, sw: 100, (400, 2400), 8.63839183918392%, 7.683809491166217
N36W113.hgt, ew: 100, sw: 100, (400, 2500), 19.322972297229718%, 14.977373263758162
N36W113.hgt, ew: 100, sw: 100, (400, 2600), 19.51374337433743%, 14.255074655671127
N36W113.hgt, ew: 100, sw: 100, (400, 2700), 40.794115411541156%, 28.76266253961405
N36W113.hgt, ew: 100, sw: 100, (400, 2800), 10.23211321132113%, 8.068078724667973
N36W113.hgt, ew: 100, sw: 100, (400, 2900), 11.34130113011301%, 8.447404009029677
