Time 15.06s, nodes: 10, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 15.95s, nodes: 10, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 24.33s, nodes: 10, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 15.94s, nodes: 10, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 15.19s, nodes: 10, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 15.84s, nodes: 10, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 15.63s, nodes: 10, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 16.03s, nodes: 10, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 15.84s, nodes: 10, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 16.26s, nodes: 10, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 15.38s, nodes: 10, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 15.64s, nodes: 10, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 16.19s, nodes: 10, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 16.91s, nodes: 10, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 15.61s, nodes: 10, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 15.89s, nodes: 10, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 17.1s, nodes: 10, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 15.94s, nodes: 10, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 15.5s, nodes: 10, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 17.05s, nodes: 10, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 15.01s, nodes: 10, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 16.51s, nodes: 10, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 17.64s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 17.63s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 17.97s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 16.45s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 16.85s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 15.58s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 17.93s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 17.21s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 16.7s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
