Time 11.75s, nodes: 20, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 11.82s, nodes: 20, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 11.79s, nodes: 20, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 11.82s, nodes: 20, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 11.89s, nodes: 20, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 11.93s, nodes: 20, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 15.2s, nodes: 20, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 15.44s, nodes: 20, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 15.17s, nodes: 20, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 15.58s, nodes: 20, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 15.77s, nodes: 20, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 15.4s, nodes: 20, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 17.54s, nodes: 20, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 15.39s, nodes: 20, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 15.23s, nodes: 20, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 15.18s, nodes: 20, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 15.19s, nodes: 20, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 15.19s, nodes: 20, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 15.47s, nodes: 20, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
