Connected 100.0%, nodes: 100, degree: 99, acv: 0.8
Connected 100.0%, nodes: 100, degree: 99, acv: 0.9
Connected 58.93%, nodes: 100, degree: 50, acv: 0.1
Connected 62.29%, nodes: 100, degree: 51, acv: 0.1
Connected 95.96%, nodes: 100, degree: 74, acv: 0.1
Connected 96.4%, nodes: 100, degree: 75, acv: 0.1
Connected 98.83%, nodes: 100, degree: 86, acv: 0.1
Connected 98.95%, nodes: 100, degree: 87, acv: 0.1
Connected 99.38%, nodes: 100, degree: 92, acv: 0.1
Connected 99.51%, nodes: 100, degree: 93, acv: 0.1
Connected 99.44%, nodes: 100, degree: 95, acv: 0.1
Connected 99.59%, nodes: 100, degree: 96, acv: 0.1
Connected 99.56%, nodes: 100, degree: 97, acv: 0.1
Connected 99.67%, nodes: 100, degree: 98, acv: 0.1
Connected 99.9%, nodes: 100, degree: 51, acv: 0.2
Connected 100.0%, nodes: 100, degree: 74, acv: 0.2
Connected 100.0%, nodes: 100, degree: 62, acv: 0.2
Connected 99.94%, nodes: 100, degree: 56, acv: 0.2
Connected 99.97%, nodes: 100, degree: 57, acv: 0.2
Connected 99.98%, nodes: 100, degree: 59, acv: 0.2
Connected 99.0%, nodes: 100, degree: 26, acv: 0.3
Connected 99.2%, nodes: 100, degree: 27, acv: 0.3
Connected 99.99%, nodes: 100, degree: 38, acv: 0.3
Connected 100.0%, nodes: 100, degree: 39, acv: 0.3
Connected 100.0%, nodes: 100, degree: 26, acv: 0.4
Connected 92.01%, nodes: 100, degree: 14, acv: 0.4
Connected 95.55%, nodes: 100, degree: 15, acv: 0.4
Connected 99.78%, nodes: 100, degree: 21, acv: 0.4
Connected 99.91%, nodes: 100, degree: 23, acv: 0.4
Connected 99.95%, nodes: 100, degree: 24, acv: 0.4
Connected 99.97%, nodes: 100, degree: 25, acv: 0.4
Connected 100.0%, nodes: 100, degree: 26, acv: 0.5
Connected 99.39%, nodes: 100, degree: 14, acv: 0.5
Connected 99.6%, nodes: 100, degree: 15, acv: 0.5
Connected 99.93%, nodes: 100, degree: 17, acv: 0.5
Connected 99.97%, nodes: 100, degree: 18, acv: 0.5
Connected 99.99%, nodes: 100, degree: 19, acv: 0.5
Connected 100.0%, nodes: 100, degree: 26, acv: 0.6
Connected 99.94%, nodes: 100, degree: 14, acv: 0.6
Connected 99.98%, nodes: 100, degree: 15, acv: 0.6
Connected 100.0%, nodes: 100, degree: 17, acv: 0.6
Connected 100.0%, nodes: 100, degree: 16, acv: 0.6
Connected 100.0%, nodes: 100, degree: 26, acv: 0.7
Connected 100.0%, nodes: 100, degree: 14, acv: 0.7
Connected 99.46%, nodes: 100, degree: 8, acv: 0.7
Connected 99.81%, nodes: 100, degree: 9, acv: 0.7
Connected 99.98%, nodes: 100, degree: 11, acv: 0.7
Connected 100.0%, nodes: 100, degree: 12, acv: 0.7
Connected 100.0%, nodes: 100, degree: 26, acv: 0.8
Connected 100.0%, nodes: 100, degree: 14, acv: 0.8
Connected 99.95%, nodes: 100, degree: 8, acv: 0.8
Connected 99.99%, nodes: 100, degree: 9, acv: 0.8
Connected 100.0%, nodes: 100, degree: 11, acv: 0.8
Connected 100.0%, nodes: 100, degree: 26, acv: 0.9
Connected 100.0%, nodes: 100, degree: 14, acv: 0.9
Connected 100.0%, nodes: 100, degree: 8, acv: 0.9
Connected 99.95%, nodes: 100, degree: 5, acv: 0.9
Connected 100.0%, nodes: 100, degree: 6, acv: 0.9
