Connected 96.0%, nodes: 100, density: 50, acv: 90.0%, degree: 30.9033050505
Connected 96.0%, nodes: 100, density: 51, acv: 90.0%, degree: 31.4099232323
Connected 96.0%, nodes: 100, density: 74, acv: 90.0%, degree: 41.3539636364
Connected 96.0%, nodes: 100, density: 75, acv: 90.0%, degree: 41.7925656566
Connected 96.0%, nodes: 100, density: 86, acv: 90.0%, degree: 46.1502545455
Connected 96.0%, nodes: 100, density: 87, acv: 90.0%, degree: 46.5080161616
Connected 96.0%, nodes: 100, density: 92, acv: 90.0%, degree: 48.3678464646
Connected 96.0%, nodes: 100, density: 93, acv: 90.0%, degree: 48.7416242424
Connected 96.0%, nodes: 100, density: 95, acv: 90.0%, degree: 49.5355393939
Connected 96.0%, nodes: 100, density: 96, acv: 90.0%, degree: 49.8924525253
Connected 96.0%, nodes: 100, density: 97, acv: 90.0%, degree: 50.2245414141
Connected 96.0%, nodes: 100, density: 98, acv: 90.0%, degree: 50.6039111111
Connected 96.0%, nodes: 100, density: 99, acv: 90.0%, degree: 50.9888969697
Connected 100.0%, nodes: 100, density: 50, acv: 100.0%, degree: 32.812
Connected 100.0%, nodes: 100, density: 26, acv: 100.0%, degree: 19.06
Connected 100.0%, nodes: 100, density: 14, acv: 100.0%, degree: 11.208
Connected 40.0%, nodes: 100, density: 8, acv: 100.0%, degree: 6.74274747475
Connected 80.0%, nodes: 100, density: 9, acv: 100.0%, degree: 7.51224242424
Connected 80.0%, nodes: 100, density: 11, acv: 100.0%, degree: 8.98723232323
Connected 80.0%, nodes: 100, density: 12, acv: 100.0%, degree: 9.76509090909
Connected 100.0%, nodes: 100, density: 13, acv: 100.0%, degree: 10.46
Connected 24.0%, nodes: 100, density: 628, acv: 10.0%, degree: 9.41131132405, population: 20
Connected 44.0%, nodes: 100, density: 628, acv: 20.0%, degree: 19.4121289631, population: 20
Connected 72.0%, nodes: 100, density: 628, acv: 30.0%, degree: 29.5536728922, population: 20
Connected 88.0%, nodes: 100, density: 628, acv: 40.0%, degree: 38.848, population: 20
Connected 76.0%, nodes: 100, density: 628, acv: 50.0%, degree: 50.586989899, population: 20
Connected 84.0%, nodes: 100, density: 628, acv: 60.0%, degree: 60.9406060606, population: 20
Connected 92.0%, nodes: 100, density: 628, acv: 70.0%, degree: 69.062440404, population: 20
Connected 92.0%, nodes: 100, density: 628, acv: 80.0%, degree: 78.8618181818, population: 20
Connected 100.0%, nodes: 100, density: 628, acv: 90.0%, degree: 89.5744, population: 20
Connected 100.0%, nodes: 100, density: 628, acv: 100.0%, degree: 99.0, population: 20
