Connected 100.0%, nodes: 100, density: 315, acv: 30.0%, degree: 30.3832
Connected 100.0%, nodes: 100, density: 158, acv: 30.0%, degree: 27.264
Connected 96.0%, nodes: 100, density: 80, acv: 30.0%, degree: 22.0216
Connected 96.0%, nodes: 100, density: 81, acv: 30.0%, degree: 22.116
Connected 96.0%, nodes: 100, density: 119, acv: 30.0%, degree: 25.3336
Connected 96.0%, nodes: 100, density: 120, acv: 30.0%, degree: 25.3888
Connected 100.0%, nodes: 100, density: 138, acv: 30.0%, degree: 26.368
Connected 100.0%, nodes: 100, density: 128, acv: 30.0%, degree: 25.8376
Connected 100.0%, nodes: 100, density: 123, acv: 30.0%, degree: 25.56
Connected 100.0%, nodes: 100, density: 121, acv: 30.0%, degree: 25.4584
Connected 96.0%, nodes: 100, density: 41, acv: 30.0%, degree: 16.08
Connected 92.0%, nodes: 100, density: 21, acv: 30.0%, degree: 11.136
Connected 68.0%, nodes: 100, density: 11, acv: 30.0%, degree: 7.3570989899
Connected 68.0%, nodes: 100, density: 12, acv: 30.0%, degree: 7.80374949495
Connected 92.0%, nodes: 100, density: 16, acv: 30.0%, degree: 9.4176
Connected 84.0%, nodes: 100, density: 13, acv: 30.0%, degree: 8.24693333333
Connected 80.0%, nodes: 100, density: 315, acv: 40.0%, degree: 38.7344080808
Connected 80.0%, nodes: 100, density: 316, acv: 40.0%, degree: 38.7488161616
Connected 80.0%, nodes: 100, density: 471, acv: 40.0%, degree: 39.3842343434
Connected 80.0%, nodes: 100, density: 472, acv: 40.0%, degree: 39.3858343434
Connected 80.0%, nodes: 100, density: 549, acv: 40.0%, degree: 39.4026343434
Connected 80.0%, nodes: 100, density: 550, acv: 40.0%, degree: 39.4042343434
Connected 80.0%, nodes: 100, density: 588, acv: 40.0%, degree: 39.4042343434
Connected 80.0%, nodes: 100, density: 589, acv: 40.0%, degree: 39.4042343434
Connected 80.0%, nodes: 100, density: 608, acv: 40.0%, degree: 39.4042343434
Connected 80.0%, nodes: 100, density: 609, acv: 40.0%, degree: 39.4042343434
