Connected 72.0%, nodes: 100, density: 315, acv: 30.0%, degree: 29.401010101
Connected 72.0%, nodes: 100, density: 316, acv: 30.0%, degree: 29.4114343434
Connected 76.0%, nodes: 100, density: 471, acv: 30.0%, degree: 29.7736888889
Connected 76.0%, nodes: 100, density: 472, acv: 30.0%, degree: 29.7744888889
Connected 76.0%, nodes: 100, density: 549, acv: 30.0%, degree: 29.7961050505
Connected 76.0%, nodes: 100, density: 550, acv: 30.0%, degree: 29.7961050505
Connected 76.0%, nodes: 100, density: 588, acv: 30.0%, degree: 29.7969131313
Connected 76.0%, nodes: 100, density: 589, acv: 30.0%, degree: 29.7969131313
Connected 76.0%, nodes: 100, density: 608, acv: 30.0%, degree: 29.7969131313
Connected 76.0%, nodes: 100, density: 609, acv: 30.0%, degree: 29.7969131313
Connected 76.0%, nodes: 100, density: 618, acv: 30.0%, degree: 29.7969131313
Connected 76.0%, nodes: 100, density: 619, acv: 30.0%, degree: 29.7969131313
Connected 76.0%, nodes: 100, density: 623, acv: 30.0%, degree: 29.7969131313
Connected 76.0%, nodes: 100, density: 624, acv: 30.0%, degree: 29.7969131313
Connected 76.0%, nodes: 100, density: 625, acv: 30.0%, degree: 29.7969131313
Connected 76.0%, nodes: 100, density: 626, acv: 30.0%, degree: 29.7969131313
Connected 76.0%, nodes: 100, density: 627, acv: 30.0%, degree: 29.7969131313
Connected 76.0%, nodes: 100, density: 628, acv: 30.0%, degree: 29.7969131313
Connected 84.0%, nodes: 100, density: 315, acv: 40.0%, degree: 39.5137454545
Connected 84.0%, nodes: 100, density: 316, acv: 40.0%, degree: 39.5377454545
Connected 84.0%, nodes: 100, density: 471, acv: 40.0%, degree: 40.4636444444
Connected 84.0%, nodes: 100, density: 472, acv: 40.0%, degree: 40.4644444444
Connected 84.0%, nodes: 100, density: 549, acv: 40.0%, degree: 40.5100525253
Connected 84.0%, nodes: 100, density: 550, acv: 40.0%, degree: 40.5100525253
Connected 84.0%, nodes: 100, density: 588, acv: 40.0%, degree: 40.5108525253
Connected 84.0%, nodes: 100, density: 589, acv: 40.0%, degree: 40.5108525253
Connected 84.0%, nodes: 100, density: 608, acv: 40.0%, degree: 40.5108525253
Connected 84.0%, nodes: 100, density: 609, acv: 40.0%, degree: 40.5108525253
Connected 84.0%, nodes: 100, density: 618, acv: 40.0%, degree: 40.5108525253
Connected 84.0%, nodes: 100, density: 619, acv: 40.0%, degree: 40.5108525253
Connected 84.0%, nodes: 100, density: 623, acv: 40.0%, degree: 40.5108525253
Connected 84.0%, nodes: 100, density: 624, acv: 40.0%, degree: 40.5108525253
Connected 84.0%, nodes: 100, density: 625, acv: 40.0%, degree: 40.5108525253
Connected 84.0%, nodes: 100, density: 626, acv: 40.0%, degree: 40.5108525253
Connected 84.0%, nodes: 100, density: 627, acv: 40.0%, degree: 40.5108525253
Connected 84.0%, nodes: 100, density: 628, acv: 40.0%, degree: 40.5108525253
Connected 76.0%, nodes: 100, density: 158, acv: 40.0%, degree: 31.3300363636
Connected 76.0%, nodes: 100, density: 159, acv: 40.0%, degree: 31.401389899
Connected 84.0%, nodes: 100, density: 236, acv: 40.0%, degree: 36.9146424242
Connected 84.0%, nodes: 100, density: 197, acv: 40.0%, degree: 34.5127434343
Connected 84.0%, nodes: 100, density: 177, acv: 40.0%, degree: 32.9743515152
Connected 80.0%, nodes: 100, density: 167, acv: 40.0%, degree: 32.1473050505
Connected 76.0%, nodes: 100, density: 162, acv: 40.0%, degree: 31.6456565657
Connected 80.0%, nodes: 100, density: 163, acv: 40.0%, degree: 31.7510949495
Connected 76.0%, nodes: 100, density: 315, acv: 50.0%, degree: 48.0416
Connected 76.0%, nodes: 100, density: 316, acv: 50.0%, degree: 48.0672080808
Connected 84.0%, nodes: 100, density: 471, acv: 50.0%, degree: 49.0568161616
Connected 84.0%, nodes: 100, density: 472, acv: 50.0%, degree: 49.0584161616
Connected 88.0%, nodes: 100, density: 549, acv: 50.0%, degree: 49.1016161616
Connected 88.0%, nodes: 100, density: 550, acv: 50.0%, degree: 49.1016161616
Connected 88.0%, nodes: 100, density: 588, acv: 50.0%, degree: 49.1024161616
Connected 88.0%, nodes: 100, density: 589, acv: 50.0%, degree: 49.1024161616
Connected 88.0%, nodes: 100, density: 608, acv: 50.0%, degree: 49.1024161616
Connected 88.0%, nodes: 100, density: 609, acv: 50.0%, degree: 49.1024161616
Connected 88.0%, nodes: 100, density: 618, acv: 50.0%, degree: 49.1024161616
Connected 88.0%, nodes: 100, density: 619, acv: 50.0%, degree: 49.1024161616
Connected 88.0%, nodes: 100, density: 623, acv: 50.0%, degree: 49.1024161616
Connected 88.0%, nodes: 100, density: 624, acv: 50.0%, degree: 49.1024161616
Connected 88.0%, nodes: 100, density: 625, acv: 50.0%, degree: 49.1024161616
Connected 88.0%, nodes: 100, density: 626, acv: 50.0%, degree: 49.1024161616
Connected 88.0%, nodes: 100, density: 627, acv: 50.0%, degree: 49.1024161616
Connected 88.0%, nodes: 100, density: 628, acv: 50.0%, degree: 49.1024161616
Connected 80.0%, nodes: 100, density: 393, acv: 50.0%, degree: 48.8767919192
Connected 80.0%, nodes: 100, density: 354, acv: 50.0%, degree: 48.5743757576
Connected 80.0%, nodes: 100, density: 334, acv: 50.0%, degree: 48.3455434343
Connected 76.0%, nodes: 100, density: 324, acv: 50.0%, degree: 48.2192808081
Connected 80.0%, nodes: 100, density: 325, acv: 50.0%, degree: 48.2247030303
Connected 88.0%, nodes: 100, density: 315, acv: 60.0%, degree: 59.3339232323
Connected 88.0%, nodes: 100, density: 316, acv: 60.0%, degree: 59.3651232323
Connected 92.0%, nodes: 100, density: 471, acv: 60.0%, degree: 60.594189899
Connected 92.0%, nodes: 100, density: 472, acv: 60.0%, degree: 60.595789899
Connected 92.0%, nodes: 100, density: 549, acv: 60.0%, degree: 60.653389899
Connected 92.0%, nodes: 100, density: 550, acv: 60.0%, degree: 60.653389899
Connected 92.0%, nodes: 100, density: 588, acv: 60.0%, degree: 60.654989899
Connected 92.0%, nodes: 100, density: 589, acv: 60.0%, degree: 60.654989899
Connected 92.0%, nodes: 100, density: 608, acv: 60.0%, degree: 60.654989899
Connected 92.0%, nodes: 100, density: 609, acv: 60.0%, degree: 60.654989899
Connected 92.0%, nodes: 100, density: 618, acv: 60.0%, degree: 60.654989899
Connected 92.0%, nodes: 100, density: 619, acv: 60.0%, degree: 60.654989899
Connected 92.0%, nodes: 100, density: 623, acv: 60.0%, degree: 60.654989899
Connected 92.0%, nodes: 100, density: 624, acv: 60.0%, degree: 60.654989899
Connected 92.0%, nodes: 100, density: 625, acv: 60.0%, degree: 60.654989899
Connected 92.0%, nodes: 100, density: 626, acv: 60.0%, degree: 60.654989899
Connected 92.0%, nodes: 100, density: 627, acv: 60.0%, degree: 60.654989899
Connected 92.0%, nodes: 100, density: 628, acv: 60.0%, degree: 60.654989899
Connected 88.0%, nodes: 100, density: 158, acv: 60.0%, degree: 47.2669010101
Connected 84.0%, nodes: 100, density: 80, acv: 60.0%, degree: 31.6477090909
Connected 80.0%, nodes: 100, density: 41, acv: 60.0%, degree: 19.7896484848
Connected 56.0%, nodes: 100, density: 21, acv: 60.0%, degree: 12.1144788291
Connected 56.0%, nodes: 100, density: 22, acv: 60.0%, degree: 12.5531474747
Connected 72.0%, nodes: 100, density: 31, acv: 60.0%, degree: 16.2398222222
Connected 72.0%, nodes: 100, density: 32, acv: 60.0%, degree: 16.6168969697
Connected 76.0%, nodes: 100, density: 36, acv: 60.0%, degree: 18.0231353535
Connected 76.0%, nodes: 100, density: 37, acv: 60.0%, degree: 18.4080808081
Connected 76.0%, nodes: 100, density: 38, acv: 60.0%, degree: 18.7106585859
Connected 80.0%, nodes: 100, density: 39, acv: 60.0%, degree: 19.0884929293
Connected 96.0%, nodes: 100, density: 315, acv: 70.0%, degree: 67.1376
Connected 96.0%, nodes: 100, density: 316, acv: 70.0%, degree: 67.1824
Connected 96.0%, nodes: 100, density: 471, acv: 70.0%, degree: 68.7384
Connected 96.0%, nodes: 100, density: 472, acv: 70.0%, degree: 68.7416
Connected 96.0%, nodes: 100, density: 549, acv: 70.0%, degree: 68.8152
Connected 96.0%, nodes: 100, density: 550, acv: 70.0%, degree: 68.8152
Connected 96.0%, nodes: 100, density: 588, acv: 70.0%, degree: 68.8184
Connected 96.0%, nodes: 100, density: 589, acv: 70.0%, degree: 68.8184
Connected 96.0%, nodes: 100, density: 608, acv: 70.0%, degree: 68.8184
Connected 96.0%, nodes: 100, density: 609, acv: 70.0%, degree: 68.8184
Connected 96.0%, nodes: 100, density: 618, acv: 70.0%, degree: 68.8184
Connected 96.0%, nodes: 100, density: 619, acv: 70.0%, degree: 68.8184
Connected 96.0%, nodes: 100, density: 623, acv: 70.0%, degree: 68.8184
Connected 96.0%, nodes: 100, density: 624, acv: 70.0%, degree: 68.8184
Connected 96.0%, nodes: 100, density: 625, acv: 70.0%, degree: 68.8184
Connected 96.0%, nodes: 100, density: 626, acv: 70.0%, degree: 68.8184
Connected 96.0%, nodes: 100, density: 627, acv: 70.0%, degree: 68.8184
Connected 96.0%, nodes: 100, density: 628, acv: 70.0%, degree: 68.8184
Connected 92.0%, nodes: 100, density: 158, acv: 70.0%, degree: 52.1570505051
Connected 80.0%, nodes: 100, density: 80, acv: 70.0%, degree: 33.8659474747
Connected 64.0%, nodes: 100, density: 41, acv: 70.0%, degree: 20.7436541744
Connected 64.0%, nodes: 100, density: 42, acv: 70.0%, degree: 21.1870995671
Connected 68.0%, nodes: 100, density: 60, acv: 70.0%, degree: 27.3690909091
Connected 68.0%, nodes: 100, density: 61, acv: 70.0%, degree: 27.6856
Connected 76.0%, nodes: 100, density: 70, acv: 70.0%, degree: 30.6681454545
Connected 76.0%, nodes: 100, density: 71, acv: 70.0%, degree: 30.9919030303
Connected 76.0%, nodes: 100, density: 75, acv: 70.0%, degree: 32.3213737374
Connected 76.0%, nodes: 100, density: 76, acv: 70.0%, degree: 32.6259313131
Connected 76.0%, nodes: 100, density: 77, acv: 70.0%, degree: 32.9264727273
Connected 76.0%, nodes: 100, density: 78, acv: 70.0%, degree: 33.2734464646
Connected 76.0%, nodes: 100, density: 79, acv: 70.0%, degree: 33.5387393939
Connected 100.0%, nodes: 100, density: 315, acv: 80.0%, degree: 77.652
Connected 100.0%, nodes: 100, density: 158, acv: 80.0%, degree: 63.4088
