Connected 84.0%, nodes: 100, density: 315, acv: 30.0%, degree: 30.5137616162
Connected 84.0%, nodes: 100, density: 316, acv: 30.0%, degree: 30.5169616162
Connected 84.0%, nodes: 100, density: 471, acv: 30.0%, degree: 30.7322828283
Connected 84.0%, nodes: 100, density: 472, acv: 30.0%, degree: 30.7330828283
Connected 84.0%, nodes: 100, density: 549, acv: 30.0%, degree: 30.7426828283
Connected 84.0%, nodes: 100, density: 550, acv: 30.0%, degree: 30.7426828283
Connected 84.0%, nodes: 100, density: 588, acv: 30.0%, degree: 30.7426828283
Connected 84.0%, nodes: 100, density: 589, acv: 30.0%, degree: 30.7426828283
Connected 84.0%, nodes: 100, density: 608, acv: 30.0%, degree: 30.7426828283
Connected 84.0%, nodes: 100, density: 609, acv: 30.0%, degree: 30.7426828283
Connected 84.0%, nodes: 100, density: 618, acv: 30.0%, degree: 30.7426828283
Connected 84.0%, nodes: 100, density: 619, acv: 30.0%, degree: 30.7426828283
Connected 84.0%, nodes: 100, density: 623, acv: 30.0%, degree: 30.7426828283
Connected 84.0%, nodes: 100, density: 624, acv: 30.0%, degree: 30.7426828283
Connected 84.0%, nodes: 100, density: 625, acv: 30.0%, degree: 30.7426828283
Connected 84.0%, nodes: 100, density: 626, acv: 30.0%, degree: 30.7426828283
Connected 84.0%, nodes: 100, density: 627, acv: 30.0%, degree: 30.7426828283
Connected 84.0%, nodes: 100, density: 628, acv: 30.0%, degree: 30.7426828283
Connected 84.0%, nodes: 100, density: 158, acv: 30.0%, degree: 27.022989899
Connected 84.0%, nodes: 100, density: 80, acv: 30.0%, degree: 20.580420202
Connected 80.0%, nodes: 100, density: 41, acv: 30.0%, degree: 14.6807919192
Connected 64.0%, nodes: 100, density: 21, acv: 30.0%, degree: 10.0229010101
Connected 64.0%, nodes: 100, density: 22, acv: 30.0%, degree: 10.3263434343
Connected 76.0%, nodes: 100, density: 31, acv: 30.0%, degree: 12.5361131313
Connected 76.0%, nodes: 100, density: 32, acv: 30.0%, degree: 12.7396040404
Connected 80.0%, nodes: 100, density: 36, acv: 30.0%, degree: 13.6605414141
Connected 76.0%, nodes: 100, density: 33, acv: 30.0%, degree: 12.9718626263
Connected 76.0%, nodes: 100, density: 34, acv: 30.0%, degree: 13.1841212121
Connected 76.0%, nodes: 100, density: 35, acv: 30.0%, degree: 13.4418989899
Connected 88.0%, nodes: 100, density: 315, acv: 40.0%, degree: 40.1839030303
Connected 88.0%, nodes: 100, density: 316, acv: 40.0%, degree: 40.1967030303
Connected 88.0%, nodes: 100, density: 471, acv: 40.0%, degree: 40.594359596
Connected 88.0%, nodes: 100, density: 472, acv: 40.0%, degree: 40.595159596
Connected 88.0%, nodes: 100, density: 549, acv: 40.0%, degree: 40.607159596
Connected 88.0%, nodes: 100, density: 550, acv: 40.0%, degree: 40.607159596
